object	superad16_AUROC_0.05	flow_latentbank_dinov2_notte_AUROC_0.05	delta_dinov2_vs_superad16_AUROC_0.05	flow_latentbank_dinov3_notte_AUROC_0.05	delta_dinov3_vs_superad16_AUROC_0.05	superadd_reported_AUROC_0.05	delta_dinov3_vs_superadd_reported_AUROC_0.05	superad16_F1	flow_latentbank_dinov2_notte_F1	delta_dinov2_vs_superad16_F1	flow_latentbank_dinov3_notte_F1	delta_dinov3_vs_superad16_F1	superadd_reported_F1	delta_dinov3_vs_superadd_reported_F1
can	0.5869504558698861	0.6479967431832179	0.061046287313331726	0.6763139609879636	0.08936350511807745	0.5161	0.1602139609879636	0.0015529473646858935	0.0016606944054529077	0.00010774704076701416	0.0029625602096795553	0.0014096128449936618	0.0	0.0029625602096795553
fabric	0.6878531287790469	0.6965200030554806	0.008666874276433645	0.7551182747288775	0.06726514594983057	0.8420000000000001	-0.08688172527112259	0.27523884960281947	0.275324651486046	8.580188322654392e-05	0.3253468313379404	0.05010798173512093	0.9373999999999999	-0.6120531686620595
fruit_jelly	0.7978415688130558	0.7413526500141783	-0.05648891879887752	0.8130731665878492	0.015231597774793437	0.8119	0.0011731665878492725	0.45315478588150393	0.3212028712195787	-0.13195191466192524	0.5410887180014757	0.0879339321199718	0.5468	-0.00571128199852422
rice	0.9283969240511856	0.9159803407779472	-0.012416583273238357	0.9461060817988146	0.017709157747629045	0.9611	-0.014993918201185341	0.6658665235111987	0.6560855996433348	-0.009780923867863889	0.6954596556022505	0.029593132091051855	0.7331	-0.03764034439774944
vial	0.6926503427427729	0.6924488802819573	-0.000201462460815649	0.7050363425370006	0.01238599979422772	0.8259000000000001	-0.12086365746299943	0.3682480423323002	0.3610685262670819	-0.007179516065218272	0.39446792848769757	0.026219886155397387	0.6476999999999999	-0.25323207151230237
wallplugs	0.7759002668944561	0.7563820247852524	-0.01951824210920372	0.8527291488139059	0.07682888191944981	0.9253	-0.07257085118609408	0.19938179661694835	0.10579295742034968	-0.09358883919659867	0.4187724215272211	0.21939062491027275	0.7916	-0.37282757847277886
walnuts	0.8838336016160715	0.8867709613918013	0.002937359775729842	0.8676908909404772	-0.016142710675594252	0.9003	-0.032609109059522745	0.7187869381783508	0.7353377442330304	0.016550806054679623	0.6967486921989021	-0.0220382459794487	0.7569	-0.0601513078010979
sheet_metal	0.7729896874005413	0.7568038844205481	-0.01618580297999317	0.7658777880410315	-0.007111899359509843	0.9318000000000001	-0.1659222119589686	0.40204330563402774	0.34665173582786335	-0.05539156980616439	0.4275533707893166	0.025510065155288864	0.5954	-0.16784662921068344
