variant	mean_seg_AUROC_0.05	mean_seg_F1
base_no_dvt	0.747299431766937	0.28538743539063466
dvt_pos_a05	0.7558557654930926	0.30143044058361196
dvt_pos_a10	0.7784580247068356	0.33654604184620407
identity_dvt_pos_a10	0.7766348785068607	0.34596822954498574
identity_no_dvt	0.7460219334217412	0.29326209624015215
