variant	object	seg_AUROC	seg_F1
foreground_raw_fused_dvt	can	0.595303	0.005867
foreground_raw_fused_dvt	fabric	0.849190	0.383320
foreground_raw_fused_dvt	fruit_jelly	0.663919	0.263092
foreground_raw_fused_dvt	rice	0.934817	0.675128
foreground_raw_fused_dvt	sheet_metal	0.869781	0.381855
foreground_raw_fused_dvt	vial	0.713088	0.385780
foreground_raw_fused_dvt	wallplugs	0.889977	0.540213
foreground_raw_fused_dvt	walnuts	0.882098	0.693814
raw_fused_dvt	can	0.583464	0.001897
raw_fused_dvt	fabric	0.910840	0.515493
raw_fused_dvt	fruit_jelly	0.780409	0.477461
raw_fused_dvt	rice	0.944420	0.716290
raw_fused_dvt	sheet_metal	0.902344	0.542156
raw_fused_dvt	vial	0.723054	0.411507
raw_fused_dvt	wallplugs	0.906187	0.632252
raw_fused_dvt	walnuts	0.884202	0.699787
raw_layerwise_tiled_dvt	can	0.609086	0.004603
raw_layerwise_tiled_dvt	fabric	0.588279	0.127758
raw_layerwise_tiled_dvt	fruit_jelly	0.763468	0.396087
raw_layerwise_tiled_dvt	rice	0.933317	0.740881
raw_layerwise_tiled_dvt	sheet_metal	0.890783	0.416309
raw_layerwise_tiled_dvt	vial	0.697707	0.338092
raw_layerwise_tiled_dvt	wallplugs	0.825550	0.318575
raw_layerwise_tiled_dvt	walnuts	0.860295	0.700716
raw_layerwise_tiled_no_dvt	can	0.595705	0.002136
raw_layerwise_tiled_no_dvt	fabric	0.575922	0.110589
raw_layerwise_tiled_no_dvt	fruit_jelly	0.774564	0.423545
raw_layerwise_tiled_no_dvt	rice	0.931473	0.741671
raw_layerwise_tiled_no_dvt	sheet_metal	0.791338	0.482258
raw_layerwise_tiled_no_dvt	vial	0.696814	0.337365
raw_layerwise_tiled_no_dvt	wallplugs	0.840538	0.322428
raw_layerwise_tiled_no_dvt	walnuts	0.873476	0.741939
raw_nn_nf_residual_dvt	can	0.579921	0.001405
raw_nn_nf_residual_dvt	fabric	0.932550	0.567101
raw_nn_nf_residual_dvt	fruit_jelly	0.782121	0.482635
raw_nn_nf_residual_dvt	rice	0.945822	0.717130
raw_nn_nf_residual_dvt	sheet_metal	0.901201	0.542308
raw_nn_nf_residual_dvt	vial	0.727511	0.414694
raw_nn_nf_residual_dvt	wallplugs	0.908490	0.642790
raw_nn_nf_residual_dvt	walnuts	0.888513	0.715447
