object	method_auc	method_f1	d_auc_vs_no_context_non_fixed_coreset	d_f1_vs_no_context_non_fixed_coreset	d_auc_vs_CLSplusregister_w5_fixed_SuperAD	d_f1_vs_CLSplusregister_w5_fixed_SuperAD	d_auc_vs_no_context_fixed_SuperAD_16_ref	d_f1_vs_no_context_fixed_SuperAD_16_ref	d_auc_vs_Recorded_SuperAD_16_DINOv2	d_f1_vs_Recorded_SuperAD_16_DINOv2
can	0.6735556850910824	0.0026538629419467484	-0.002758275896881157	-0.000308697267732807	0.007906441009340348	-0.0036399037178314786	0.006602757974425777	-0.004109443367535099	0.08660522922119629	0.0011009155772608548
fabric	0.7775843796069355	0.3498607999124798	0.022466104878058002	0.024513968574539413	-0.030562491331599162	-0.02495193977278526	-0.0019449651585409233	0.013166710381653401	0.08973125082788858	0.07462195030966035
fruit_jelly	0.8135554591436787	0.5412749258293832	0.0004822925558294333	0.0001862078279074586	0.0013710731160525569	0.0095460741126151	-0.0001757974837630627	0.004296207606072189	0.01571389033062287	0.08812013994787926
rice	0.9460905080169243	0.6955601742766357	-1.5573781890321214e-05	0.00010051867438520823	0.001630062671375332	0.0031215214287424464	0.0016148446663409866	0.0030912203209497724	0.017693583965738724	0.029693650765437063
vial	0.7070131494432379	0.3951394450139301	0.0019768069062372495	0.0006715165262325407	-0.00438592645754432	-0.003500036146462271	-0.0017272195556453651	-0.0022312831579301973	0.01436280670046497	0.026891402681629928
wallplugs	0.8513991553260496	0.41593164239921093	-0.0013299934878563402	-0.0028407791280101735	0.0030038811654549136	0.007292387420621993	0.0023981256849863186	0.004267859608082791	0.07549888843159347	0.21654984578226258
walnuts	0.8682561924654957	0.698327646530463	0.0005653015250184357	0.0015789543315608556	-0.012481815253156059	0.004588184764084291	-0.010317253689257289	0.00804710610117787	-0.015577409150575816	-0.020459291647887845
sheet_metal	0.7669160352361388	0.4287668981733167	0.0010382471951073668	0.0012135273840001015	0.001090660030316326	0.0003275243393963678	0.0021073768877200028	0.001494168617907965	-0.006073652164402477	0.026723592539288965
