component	object	delta_AUROC_vs_base	delta_F1_vs_base	component_auroc_wins	component_f1_wins
flow_tte_budget125	rice	-0.010187	-0.000980	2	4
flow_tte_budget125	sheet_metal	-0.022984	-0.005916	2	4
flow_tte_budget125	vial	-0.013731	-0.032954	2	4
flow_tte_budget125	wallplugs	0.001431	0.087068	2	4
flow_tte_budget125	walnuts	-0.002216	0.004509	2	4
cls_soft_w5	can	-0.003351	-0.000371	5	6
cls_soft_w5	fabric	0.030844	0.034310	5	6
cls_soft_w5	fruit_jelly	0.000572	0.000404	5	6
cls_soft_w5	rice	-0.000025	0.000124	5	6
cls_soft_w5	sheet_metal	0.001395	0.001540	5	6
cls_soft_w5	vial	0.002366	0.000755	5	6
cls_soft_w5	wallplugs	-0.001428	-0.002858	5	6
cls_soft_w5	walnuts	0.000586	0.001984	5	6
cls_soft_w10	can	-0.006650	-0.000600	5	6
cls_soft_w10	fabric	0.062446	0.073340	5	6
cls_soft_w10	fruit_jelly	0.000791	0.000910	5	6
cls_soft_w10	rice	-0.000057	0.000251	5	6
cls_soft_w10	sheet_metal	0.002401	0.001678	5	6
cls_soft_w10	vial	0.004527	0.001134	5	6
cls_soft_w10	wallplugs	-0.002927	-0.005783	5	6
cls_soft_w10	walnuts	0.000939	0.003614	5	6
register_soft_w5	can	-0.001142	-0.000116	6	5
register_soft_w5	fabric	0.005042	0.005423	6	5
register_soft_w5	fruit_jelly	0.000119	-0.000430	6	5
register_soft_w5	rice	0.000004	0.000020	6	5
register_soft_w5	sheet_metal	0.000171	0.000137	6	5
register_soft_w5	vial	0.000761	0.000343	6	5
register_soft_w5	wallplugs	-0.001103	-0.002824	6	5
register_soft_w5	walnuts	0.000498	0.000594	6	5
clsreg_soft_w5	can	-0.002758	-0.000309	5	6
clsreg_soft_w5	fabric	0.022466	0.024514	5	6
clsreg_soft_w5	fruit_jelly	0.000482	0.000186	5	6
clsreg_soft_w5	rice	-0.000016	0.000101	5	6
clsreg_soft_w5	sheet_metal	0.001038	0.001214	5	6
clsreg_soft_w5	vial	0.001977	0.000672	5	6
clsreg_soft_w5	wallplugs	-0.001330	-0.002841	5	6
clsreg_soft_w5	walnuts	0.000565	0.001579	5	6
cls_topm4	can	-0.003757	-0.000299	1	2
cls_topm4	fabric	0.030404	0.005357	1	2
cls_topm4	fruit_jelly	-0.002269	-0.004938	1	2
cls_topm4	rice	-0.005504	0.002670	1	2
cls_topm4	sheet_metal	-0.002982	-0.004098	1	2
cls_topm4	vial	-0.005935	-0.018605	1	2
cls_topm4	wallplugs	-0.013757	-0.006675	1	2
cls_topm4	walnuts	-0.001866	-0.004668	1	2
register_condnf	can	0.013853	0.002321	3	5
register_condnf	fabric	-0.023880	-0.029863	3	5
register_condnf	fruit_jelly	0.001395	0.009081	3	5
register_condnf	rice	-0.000661	0.000497	3	5
register_condnf	sheet_metal	-0.000550	0.002967	3	5
register_condnf	vial	-0.003815	-0.004101	3	5
register_condnf	wallplugs	0.006146	0.009088	3	5
register_condnf	walnuts	-0.002003	-0.003173	3	5
hybrid_regcond_cls_topm4	can	0.010597	0.001828	1	3
hybrid_regcond_cls_topm4	fabric	-0.009943	-0.044948	1	3
hybrid_regcond_cls_topm4	fruit_jelly	-0.002456	0.001495	1	3
hybrid_regcond_cls_topm4	rice	-0.005974	0.002041	1	3
hybrid_regcond_cls_topm4	sheet_metal	-0.004268	-0.003992	1	3
hybrid_regcond_cls_topm4	vial	-0.009321	-0.019870	1	3
hybrid_regcond_cls_topm4	wallplugs	-0.010351	-0.014089	1	3
hybrid_regcond_cls_topm4	walnuts	-0.004300	-0.011536	1	3
