run	object_name	split	n_images	threshold	mean_positive_area	median_positive_area	mean_component_count	mean_largest_component_share	mean_score	mean_p99_score	mean_gt_iou	mean_gt_recall	mean_gt_precision
no_context	fabric	bad	90	2.650390625	0.009062902911815766	0.0022105298011131534	19.22222222222222	0.39144080821614124	0.8765418681833479	2.4374028863112116	0.07126309617887078	0.4275280587862594	0.09799501228245842
no_context	fabric	good	66	2.650390625	0.003638201218875334	0.0019969067542381534	23.136363636363637	0.35340155975830345	0.7728452838279984	2.293858530503329	0.0	0.0	0.0
no_context	can	bad	90	3.1640625	0.0014729282951886696	0.0008157709593413978	7.822222222222222	0.5213144248354621	0.6542136709102326	2.588487679375543	0.011559411619890964	0.030634501494159198	0.04922184693407442
no_context	can	good	72	3.1640625	0.001535571366845256	0.000617789538530466	7.861111111111111	0.5511039832998789	0.5952852125176125	2.493890644345019	0.0	0.0	0.0
no_context	wallplugs	bad	90	3.91796875	0.0013743193494122185	3.20135378370098e-05	2.4444444444444446	0.540577958701125	1.5169004533025954	3.1068076695336226	0.09841026841463625	0.11699712029196405	0.2576443856185621
no_context	wallplugs	good	60	3.91796875	0.0011805017010059233	5.674673840890523e-05	4.566666666666666	0.3993604527521643	1.4466220249732336	3.1206949027776707	0.0	0.0	0.0
no_context	vial	bad	105	3.46484375	0.016910902255639095	0.016619924812030076	14.266666666666667	0.6389800643341698	0.5385276341722125	3.670618205933339	0.37079714253169666	0.6838081054135876	0.5322759857994576
no_context	vial	good	35	3.46484375	0.003035026852846402	0.0026176691729323308	10.085714285714285	0.5147611515482403	0.5000933898346764	3.1206111418179083	0.0	0.0	0.0
cls_w10	fabric	bad	90	2.833984375	0.011492274997021375	0.0022030500025531042	21.344444444444445	0.40425638737859193	1.1316497961680094	2.6579983905951168	0.07516513523581075	0.4361616776244166	0.09757594628708095
cls_w10	fabric	good	66	2.833984375	0.004122674571426581	0.0020562464894812093	24.863636363636363	0.3213665478047623	0.9835584556514566	2.489608960115547	0.0	0.0	0.0
cls_w10	can	bad	90	3.169921875	0.001630579357078853	0.0009505295838933692	8.477777777777778	0.5069216433297558	0.6870215176501208	2.608456799017059	0.009633136401808275	0.027779625101874487	0.04907845238871233
cls_w10	can	good	72	3.169921875	0.0017070215757697383	0.0007879879312275985	8.902777777777779	0.533917054249116	0.6299655998591334	2.517508623831803	0.0	0.0	0.0
cls_w10	wallplugs	bad	90	3.95703125	0.0013709307236349402	2.732619740604575e-05	2.3555555555555556	0.5304304200701683	1.570633920033773	3.1412072729004743	0.0972041802087997	0.11599039212752617	0.26025100048215677
cls_w10	wallplugs	good	60	3.95703125	0.001243029492613017	4.607555912990196e-05	4.65	0.3641892620260851	1.5096397250890732	3.163911379377046	0.0	0.0	0.0
cls_w10	vial	bad	105	3.501953125	0.017350501253132835	0.016100375939849625	14.571428571428571	0.6253263454288538	0.6034735048101062	3.719307198751536	0.36336229186822283	0.6817452714628817	0.5265552901090091
cls_w10	vial	good	35	3.501953125	0.002882781954887218	0.00275	9.542857142857143	0.5123902970715956	0.5416742571762629	3.1422082241603286	0.0	0.0	0.0
register_topm4	fabric	bad	90	2.69140625	0.01166802699269812	0.0037220474941278593	29.322222222222223	0.3403324066420106	1.068532376156913	2.594719237062665	0.06268210112748065	0.4822188684106774	0.08533739290776217
register_topm4	fabric	good	66	2.69140625	0.0058995815616334915	0.0036819557738459966	30.5	0.35847558428471615	0.8972812437198379	2.435755808895283	0.0	0.0	0.0
register_topm4	can	bad	90	3.125	0.0017672485205719834	0.001087257084453405	9.122222222222222	0.4949495524469033	0.661850780973004	2.5877001059187785	0.009452070031343473	0.03210377614778593	0.04072110029793949
register_topm4	can	good	72	3.125	0.0017626544765531663	0.0008074579273073477	9.555555555555555	0.5357056309306534	0.5984769099547217	2.492549922350381	0.0	0.0	0.0
register_topm4	wallplugs	bad	90	3.80859375	0.0014094821594725854	0.00013353933695874184	2.8222222222222224	0.5642141481489492	1.602170881960127	3.1127321728070565	0.11049879847946127	0.1309777784039124	0.28910400050374224
register_topm4	wallplugs	good	60	3.80859375	0.001110720166973039	2.293804891748366e-05	4.883333333333334	0.46535446167680955	1.5388274480899176	3.116803358197211	0.0	0.0	0.0
register_topm4	vial	bad	105	3.4375	0.01769332617257429	0.017118421052631578	16.247619047619047	0.5751831664774686	0.5538921431416557	3.673691116560069	0.331096107189761	0.67349804254259	0.48692984346547247
register_topm4	vial	good	35	3.4375	0.0035608163265306134	0.0031319548872180453	11.685714285714285	0.3981415046082302	0.5401910079377038	3.1301879532677765	0.0	0.0	0.0
register_condnf	fabric	bad	90	2.72265625	0.008237297152295523	0.0023102604485804737	19.61111111111111	0.3767434030575524	0.9066678252485063	2.49754281926155	0.06749787932198281	0.4240340198648189	0.09511038812123612
