method	n_objects	seg_AUROC_0.05	seg_F1	delta_auc_vs_noctx	delta_f1_vs_noctx	run_dir
baseline_no_context	8	0.797743206804	0.437800022269	0.000000000000	0.000000000000	results/remote_runs/dsba3/flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_notte_dw025_20260707_v1
cls_w10_diag	8	0.805426830672	0.447117923360	0.007683623867	0.009317901091	results/remote_runs/dsba3/flowtte_nonfixed_context_perf_sweep_20260707_v1/runs/cls_w10_dw025
register_topm4	8	0.798845825024	0.434410539009	0.001102618220	-0.003389483260	results/remote_runs/dsba3/flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_register_topm4_coreset_notte_dw025_20260707_v1
register_condnf	8	0.796553954255	0.436151915188	-0.001189252549	-0.001648107081	results/remote_runs/dsba3/flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_register_condnf_coreset_notte_dw025_20260707_v1
