variant,seg_AUROC_0.05,seg_F1,delta_AUROC_vs_baseline,delta_F1_vs_baseline
baseline,0.8367389799623206,0.5274274782811263,0.0,0.0
support_position_center,0.7851328469363492,0.4296526683732159,-0.05160613302597139,-0.09777480990791043
support_position_zscore,0.7018295876924967,0.27814356554102276,-0.1349093922698239,-0.24928391274010359
foreground_energy,0.8345978446870952,0.5268070702556048,-0.0021411352752254142,-0.0006204080255215461
center_plus_foreground,0.8088389399015777,0.4716128163142186,-0.02790004006074287,-0.055814661966907764
