method,seg_AUROC_0.05,seg_F1,delta_AUROC_vs_hplus_fused,delta_F1_vs_hplus_fused,delta_AUROC_vs_superadd_reported,delta_F1_vs_superadd_reported
H+ DVT fused FlowTTE baseline,0.8367389799623206,0.5274274782811263,0.0,0.0,-0.00256102003767944,-0.09868552171887368
Layer-wise no-context score fusion,0.8282096261798593,0.49910969731848714,-0.008529353782461335,-0.028317780962639205,-0.011090373820140775,-0.1270033026815129
Layer-wise CLS topM4 routed,0.8299228728179979,0.5088633626464755,-0.006816107144322681,-0.01856411563465088,-0.00937712718200212,-0.11724963735352456
