object	backbone	seg_AUROC_0.05	seg_F1	best_threshold	delta_auc_vs_vitl14	delta_f1_vs_vitl14	superad16_context_auc	superad16_context_f1	delta_auc_vs_superad16_context	delta_f1_vs_superad16_context
can	dinov2_vitl14	0.6306319209262368	0.003365083779461865	3.423828125	0.0	0.0	0.5869504558698861	0.0015529473646858935	0.04368146505635072	0.0018121364147759714
can	dinov2_vitl14_reg	0.6192803365019813	0.0014590764593526177	3.111328125	-0.011351584424255434	-0.0019060073201092472	0.5869504558698861	0.0015529473646858935	0.03232988063209519	-0.00009387090533327582
rice	dinov2_vitl14	0.90088366871457	0.6278061866469683	3.677734375	0.0	0.0	0.9283969240511856	0.6658665235111987	-0.027513255336615528	-0.03806033686423038
rice	dinov2_vitl14_reg	0.9244001503865746	0.6661632301008523	4.03515625	0.023516481672004597	0.03835704345388402	0.9283969240511856	0.6658665235111987	-0.003996773664610931	0.00029670658965363916
mean	dinov2_vitl14	0.7657577948204034	0.3155856352132151	NA	0.0	0.0	0.7576736899605359	0.3337097354379423	0.008084104859867514	-0.01812410022472718
mean	dinov2_vitl14_reg	0.7718402434442779	0.33381115328010247	NA	0.006082448623874526	0.01822551806688738	0.7576736899605359	0.3337097354379423	0.014166553483742073	0.00010141784216016747
