method	run_name	context_source	context_weight	object	seg_AUROC_0.05	seg_F1	delta_AUROC_vs_no_context	delta_F1_vs_no_context	superad16_AUROC_0.05	delta_AUROC_vs_superad16	superad16_F1	delta_F1_vs_superad16	superadd_reported_AUROC_0.05	delta_AUROC_vs_superadd_reported	superadd_reported_F1	delta_F1_vs_superadd_reported
Context CLS w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w1_dw025_20260707_v1	cls	1.0	fruit_jelly	0.8133827579039368	0.535676395343845	-0.00034849872350495303	-0.001302322879465967	0.7978415688130558	0.01554118909088098	0.45315478588150393	0.0825216094623411	0.8119	0.0014827579039368155	0.5468	-0.011123604656154917
Context CLS w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w1_dw025_20260707_v1	cls	1.0	rice	0.9444716885861602	0.6924521520235075	-3.974764423153587e-06	-1.680193217845627e-05	0.9283969240511856	0.016074764534974584	0.6658665235111987	0.026585628512308834	0.9611	-0.016628311413839802	0.7331	-0.04064784797649246
Context CLS w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w1_dw025_20260707_v1	cls	1.0	vial	0.7093568569506076	0.39773266450523925	0.0006164879517243094	0.0003619363333789427	0.6926503427427729	0.016706514207834644	0.3682480423323002	0.029484622172939068	0.8259000000000001	-0.1165431430493925	0.6476999999999999	-0.2499673354947607
Context CLS w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w1_dw025_20260707_v1	cls	1.0	wallplugs	0.8488685000873306	0.411063442579064	-0.00013252955373266317	-0.000600340212064121	0.7759002668944561	0.07296823319287449	0.19938179661694835	0.21168164596211567	0.9253	-0.0764314999126694	0.7916	-0.38053655742093595
Context CLS w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w1_dw025_20260707_v1	cls	1.0	walnuts	0.8793119095764392	0.6917656898368575	0.000738463421686264	0.0014851494075723837	0.8838336016160715	-0.0045216920396322635	0.7187869381783508	-0.02702124834149333	0.9003	-0.020988090423560757	0.7569	-0.06513431016314253
Context CLS w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_cls_w1_dw025_20260707_v1	cls	1.0	sheet_metal	0.7651087868934854	0.42773901341658627	0.00030012854506655806	0.00046628386117752996	0.7729896874005413	-0.007880900507055921	0.40204330563402774	0.02569570778255853	0.9318000000000001	-0.1666912131065147	0.5954	-0.16766098658341377
Context register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w1_dw025_20260707_v1	register	1.0	can	0.6668371498744846	0.006724120541067566	-0.00011577724217204377	-3.91857684142816e-05	0.5869504558698861	0.07988669400459847	0.0015529473646858935	0.0051711731763816726	0.5161	0.1507371498744846	0.0	0.006724120541067566
Context register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w1_dw025_20260707_v1	register	1.0	fabric	0.7809290619949241	0.3385109104970619	0.00139971722944765	0.0018168209662354773	0.6878531287790469	0.09307593321587715	0.27523884960281947	0.06327206089424242	0.8420000000000001	-0.061070938005076014	0.9373999999999999	-0.598889089502938
Context register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w1_dw025_20260707_v1	register	1.0	fruit_jelly	0.8136178934570448	0.5365944765988646	-0.00011336317039689625	-0.00038424162444639087	0.7978415688130558	0.015776324643989037	0.45315478588150393	0.08343969071736068	0.8119	0.0017178934570448723	0.5468	-0.010205523401135341
Context register w1	flow_latentbank_mvtecad2_all8_shot16_dinov3vitl16_fixedref_ctx_register_w1_dw025_20260707_v1	register	1.0	rice	0.9444752856200933	0.6924686037702021	-3.777304899976741e-07	-3.5018548383281e-07	0.9283969240511856	0.01607836156890774	0.6658665235111987	0.026602080259003458	0.9611	-0.016624714379906647	0.7331	-0.040631396229797834
