object	fixed_ref_dinov3_AUROC_0.05	dinov3_coreset_AUROC_0.05	delta_fixed_vs_dinov3_coreset_AUROC_0.05	dinov2_same_ref_AUROC_0.05	delta_fixed_vs_dinov2_AUROC_0.05	superad16_AUROC_0.05	delta_fixed_vs_superad16_AUROC_0.05	superadd_reported_AUROC_0.05	delta_fixed_vs_superadd_reported_AUROC_0.05	fixed_ref_dinov3_F1	dinov3_coreset_F1	delta_fixed_vs_dinov3_coreset_F1	dinov2_same_ref_F1	delta_fixed_vs_dinov2_F1	superad16_F1	delta_fixed_vs_superad16_F1	superadd_reported_F1	delta_fixed_vs_superadd_reported_F1
can	0.6669529271166567	0.6763139609879636	-0.009361033871306934	0.6479967431832179	0.018956183933438786	0.5869504558698861	0.08000247124677051	0.5161	0.15085292711665665	0.0067633063094818474	0.0029625602096795553	0.003800746099802292	0.0016606944054529077	0.00510261190402894	0.0015529473646858935	0.005210358944795954	0.0	0.0067633063094818474
fabric	0.7795293447654764	0.7551182747288775	0.024411070036598925	0.6965200030554806	0.08300934170999585	0.6878531287790469	0.0916762159864295	0.8420000000000001	-0.062470655234523664	0.3366940895308264	0.3253468313379404	0.011347258192886012	0.275324651486046	0.0613694380447804	0.27523884960281947	0.061455239928006944	0.9373999999999999	-0.6007059104691734
fruit_jelly	0.8137312566274417	0.8130731665878492	0.000658090039592496	0.7413526500141783	0.07237860661326345	0.7978415688130558	0.015889687814385933	0.8119	0.0018312566274417685	0.536978718223311	0.5410887180014757	-0.00410999977816473	0.3212028712195787	0.2157758470037323	0.45315478588150393	0.08382393234180707	0.5468	-0.00982128177668895
rice	0.9444756633505833	0.9461060817988146	-0.0016304184482313078	0.9159803407779472	0.028495322572636095	0.9283969240511856	0.016078739299397737	0.9611	-0.01662433664941665	0.692468953955686	0.6954596556022505	-0.002990701646564564	0.6560855996433348	0.03638335431235118	0.6658665235111987	0.02660243044448729	0.7331	-0.040631046044314
vial	0.7087403689988833	0.7050363425370006	0.0037040264618826146	0.6924488802819573	0.016291488716925984	0.6926503427427729	0.016090026256110335	0.8259000000000001	-0.11715963100111682	0.3973707281718603	0.39446792848769757	0.002902799684162738	0.3610685262670819	0.0363022019047784	0.3682480423323002	0.029122685839560125	0.6476999999999999	-0.25032927182813963
wallplugs	0.8490010296410633	0.8527291488139059	-0.003728119172842659	0.7563820247852524	0.09261900485581087	0.7759002668944561	0.07310076274660715	0.9253	-0.07629897035893674	0.41166378279112814	0.4187724215272211	-0.007108638736092965	0.10579295742034968	0.3058708253707785	0.19938179661694835	0.2122819861741798	0.7916	-0.37993621720887183
walnuts	0.878573446154753	0.8676908909404772	0.010882555214275724	0.8867709613918013	-0.00819751523704837	0.8838336016160715	-0.0052601554613185275	0.9003	-0.02172655384524702	0.6902805404292851	0.6967486921989021	-0.006468151769617014	0.7353377442330304	-0.04505720380374534	0.7187869381783508	-0.028506397749065715	0.7569	-0.06661945957071491
sheet_metal	0.7648086583484188	0.7658777880410315	-0.001069129692612636	0.7568038844205481	0.00800477392787069	0.7729896874005413	-0.00818102905212248	0.9318000000000001	-0.16699134165158125	0.42727272955540874	0.4275533707893166	-0.00028064123390786344	0.34665173582786335	0.08062099372754539	0.40204330563402774	0.025229423921381	0.5954	-0.1681272704445913
