object	scenario	component	good_top_mean	bad_top_mean	delta_bad_good
fruit_jelly	raw_support_denoised_query	density_penalty	1.44050920	2.85738564	1.41687644
fruit_jelly	raw_support_denoised_query	feature_nn	0.55066180	0.60281283	0.05215103
fruit_jelly	raw_support_denoised_query	final_score	4.70106888	5.51904297	0.81797409
fruit_jelly	raw_support_denoised_query	latent_distance_norm	4.50221205	4.96295500	0.46074295
fruit_jelly	raw_support_raw_query	density_penalty	2.06545568	3.38240528	1.31694960
fruit_jelly	raw_support_raw_query	feature_nn	0.44245553	0.49992481	0.05746928
fruit_jelly	raw_support_raw_query	final_score	4.19689035	5.09296083	0.89607048
fruit_jelly	raw_support_raw_query	latent_distance_norm	3.80290866	4.32940865	0.52649999
rice	denoised_support_denoised_query	density_penalty	4.19696569	4.75744104	0.56047535
rice	denoised_support_denoised_query	feature_nn	0.36591208	0.37556496	0.00965288
rice	denoised_support_denoised_query	final_score	4.47643375	5.12127781	0.64484406
rice	denoised_support_denoised_query	latent_distance_norm	3.79984260	4.31518936	0.51534676
rice	denoised_support_raw_query	density_penalty	13.74656773	13.76834202	0.02177429
rice	denoised_support_raw_query	feature_nn	0.52674967	0.53204232	0.00529265
rice	denoised_support_raw_query	final_score	18.83208847	19.01498604	0.18289757
rice	denoised_support_raw_query	latent_distance_norm	15.50467300	15.65327930	0.14860630
rice	raw_support_denoised_query	density_penalty	2.69647717	3.24952030	0.55304313
rice	raw_support_denoised_query	feature_nn	0.43017998	0.43708178	0.00690180
rice	raw_support_denoised_query	final_score	3.50439453	4.02625561	0.52186108
rice	raw_support_denoised_query	latent_distance_norm	3.23091960	3.61189342	0.38097382
rice	raw_support_raw_query	density_penalty	3.18583679	3.55960274	0.37376595
rice	raw_support_raw_query	feature_nn	0.39860830	0.40583837	0.00723007
rice	raw_support_raw_query	final_score	3.45191979	3.80426192	0.35234213
rice	raw_support_raw_query	latent_distance_norm	3.01041675	3.27735710	0.26694035
sheet_metal	denoised_support_denoised_query	density_penalty	2.93955421	3.78172398	0.84216977
sheet_metal	denoised_support_denoised_query	feature_nn	0.39431760	0.45569023	0.06137263
sheet_metal	denoised_support_denoised_query	final_score	2.27729344	3.10283589	0.82554245
sheet_metal	denoised_support_denoised_query	latent_distance_norm	1.70604753	2.23445392	0.52840639
sheet_metal	denoised_support_raw_query	density_penalty	7.75344086	7.94592524	0.19248438
