object	selected_alpha	seg_F1	seg_AUROC_at_selected_alpha	delta_F1_vs_no_dvt
can	0.50	0.0033877756816623893	0.6428534745219825	0.00042521547198283395
fabric	1.00	0.5213577255283824	0.8984298828419428	0.19601089419044204
fruit_jelly	0.00	0.5410887180014757	0.8130731665878492	0.0
rice	0.00	0.6954596556022505	0.9461060817988146	0.0
vial	0.00	0.39446792848769757	0.7050363425370006	0.0
wallplugs	1.00	0.4322276023199913	0.8514212809137531	0.013455180792770194
walnuts	0.50	0.7103096872978575	0.8720250408636699	0.013560995098955364
sheet_metal	1.00	0.5174919527062136	0.8887380496776919	0.08993858191689702
