object	selected_alpha	seg_AUROC_0.05	seg_F1_at_selected_alpha	delta_AUROC_vs_no_dvt
can	0.00	0.6763139609879636	0.0029625602096795553	0.0
fabric	1.00	0.8984298828419428	0.5213577255283824	0.14331160811306531
fruit_jelly	0.00	0.8130731665878492	0.5410887180014757	0.0
rice	0.50	0.9515256997248555	0.6914153646676322	0.005419617926040843
vial	1.00	0.7140343839935308	0.39001933276820444	0.00899804145653016
wallplugs	0.00	0.8527291488139059	0.4187724215272211	0.0
walnuts	0.50	0.8720250408636699	0.7103096872978575	0.004334149923192698
sheet_metal	1.00	0.8887380496776919	0.5174919527062136	0.12286026163666042
