object	alpha	seg_AUROC_0.05	seg_F1	delta_AUROC_vs_no_dvt	delta_F1_vs_no_dvt
can	0.00	0.6763139609879636	0.0029625602096795553	0.0	0.0
can	0.25	0.6559963087919354	0.002805160436652332	-0.020317652196028213	-0.0001573997730272233
can	0.50	0.6428534745219825	0.0033877756816623893	-0.0334604864659811	0.00042521547198283395
can	0.75	0.6429935145323489	0.0030334617418234008	-0.033320446455614716	7.090153214384543e-05
can	1.00	0.6499465510781158	0.0025795067682380427	-0.02636740990984776	-0.00038305344144151264
fabric	0.00	0.7551182747288775	0.3253468313379404	0.0	0.0
fabric	0.25	0.786405593806148	0.3648698011346831	0.03128731907727056	0.03952296979674269
fabric	0.50	0.8254898207182878	0.41002743750719317	0.07037154598941031	0.08468060616925277
fabric	0.75	0.8677608472710554	0.4646292049025691	0.11264257254217791	0.1392823735646287
fabric	1.00	0.8984298828419428	0.5213577255283824	0.14331160811306531	0.19601089419044204
fruit_jelly	0.00	0.8130731665878492	0.5410887180014757	0.0	0.0
fruit_jelly	0.25	0.811197653301255	0.5360367220158181	-0.0018755132865941881	-0.005051995985657642
fruit_jelly	0.50	0.809582255973886	0.5318052397835316	-0.0034909106139632273	-0.009283478217944174
fruit_jelly	0.75	0.8080209868939616	0.5381732410677398	-0.005052179693887604	-0.00291547693373595
fruit_jelly	1.00	0.799020131609933	0.5177068628313027	-0.014053034977916212	-0.023381855170172994
rice	0.00	0.9461060817988146	0.6954596556022505	0.0	0.0
rice	0.25	0.9494199414751168	0.6932377182819579	0.0033138596763021555	-0.002221937320292633
rice	0.50	0.9515256997248555	0.6914153646676322	0.005419617926040843	-0.004044290934618333
rice	0.75	0.9509811162141898	0.6916154016471375	0.004875034415375179	-0.0038442539551130084
rice	1.00	0.9497520811935007	0.6929587706075034	0.003645999394686128	-0.002500884994747099
vial	0.00	0.7050363425370006	0.39446792848769757	0.0	0.0
vial	0.25	0.7050984460188336	0.39195114234923634	6.210348183299796e-05	-0.0025167861384612356
vial	0.50	0.7053371976431512	0.38643367428728337	0.0003008551061505216	-0.008034254200414204
vial	0.75	0.7093218100561306	0.3819157215616476	0.0042854675191299485	-0.012552206926049969
vial	1.00	0.7140343839935308	0.39001933276820444	0.00899804145653016	-0.004448595719493131
wallplugs	0.00	0.8527291488139059	0.4187724215272211	0.0	0.0
wallplugs	0.25	0.8511404161510728	0.4095369531764824	-0.0015887326628331033	-0.009235468350738685
wallplugs	0.50	0.8497425690889491	0.405872874858309	-0.0029865797249568615	-0.012899546668912132
wallplugs	0.75	0.8496932302546152	0.41340802721057085	-0.003035918559290751	-0.005364394316650256
wallplugs	1.00	0.8514212809137531	0.4322276023199913	-0.0013078679001528037	0.013455180792770194
walnuts	0.00	0.8676908909404772	0.6967486921989021	0.0	0.0
walnuts	0.25	0.8719191363310916	0.7050190217111602	0.0042282453906143935	0.008270329512258034
walnuts	0.50	0.8720250408636699	0.7103096872978575	0.004334149923192698	0.013560995098955364
walnuts	0.75	0.865998712033726	0.7058799991854833	-0.0016921789067512183	0.009131306986581156
walnuts	1.00	0.8503132336271901	0.6724444381689305	-0.01737765731328711	-0.024304254029971606
sheet_metal	0.00	0.7658777880410315	0.4275533707893166	0.0	0.0
sheet_metal	0.25	0.772378273332341	0.43319803514650357	0.006500485291309532	0.005644664357186968
sheet_metal	0.50	0.7905833158807354	0.4347326125947697	0.024705527839703922	0.007179241805453096
sheet_metal	0.75	0.8795699345058223	0.4800547429517028	0.11369214646479087	0.052501372162386206
sheet_metal	1.00	0.8887380496776919	0.5174919527062136	0.12286026163666042	0.08993858191689702
